"['<s>', '<s>', 'a', 'girl', 'playing']","['<s>', '<s>']",ein
"['<s>', '<s>', 'a', 'girl', 'playing']","['<s>', 'ein']",mädchen
"['<s>', 'a', 'girl', 'playing', 'pool']","['ein', 'mädchen']",spielt
"['a', 'girl', 'playing', 'pool', 'at']","['mädchen', 'spielt']",in
"['girl', 'playing', 'pool', 'at', 'a']","['spielt', 'in']",einer
"['playing', 'pool', 'at', 'a', 'pool']","['in', 'einer']",billardhalle
"['pool', 'at', 'a', 'pool', 'hall']","['einer', 'billardhalle']",billard
"['at', 'a', 'pool', 'hall', '.']","['billardhalle', 'billard']",.

"['<s>', '<s>', 'a', 'man', 'climbs']","['<s>', '<s>']",ein
"['<s>', 'a', 'man', 'climbs', 'up']","['<s>', 'ein']",mann
"['a', 'man', 'climbs', 'up', 'a']","['ein', 'mann']",klettert
"['man', 'climbs', 'up', 'a', 'cliff']","['mann', 'klettert']",eine
"['climbs', 'up', 'a', 'cliff', 'and']","['klettert', 'eine']",felswand
"['up', 'a', 'cliff', 'and', 'reaches']","['eine', 'felswand']",hoch
"['a', 'cliff', 'and', 'reaches', 'an']","['felswand', 'hoch']",und
"['cliff', 'and', 'reaches', 'an', 'overhang']","['hoch', 'und']",erreicht
"['and', 'reaches', 'an', 'overhang', '.']","['und', 'erreicht']",einen
"['reaches', 'an', 'overhang', '.', '</s>']","['erreicht', 'einen']",Überhang
"['an', 'overhang', '.', '</s>', '</s>']","['einen', 'Überhang']",.

"['<s>', '<s>', 'a', 'group', 'of']","['<s>', '<s>']",eine
"['<s>', '<s>', 'a', 'group', 'of']","['<s>', 'eine']",gruppe
"['<s>', 'a', 'group', 'of', 'people']","['eine', 'gruppe']",geht
"['a', 'group', 'of', 'people', 'walking']","['gruppe', 'geht']",über
"['a', 'group', 'of', 'people', 'walking']","['geht', 'über']",einen
"['group', 'of', 'people', 'walking', 'across']","['über', 'einen']",seilbrücke
"['of', 'people', 'walking', 'across', 'a']","['einen', 'seilbrücke']",.

"['<s>', '<s>', 'young', 'man', 'alone']","['<s>', '<s>']",ein
"['<s>', 'young', 'man', 'alone', 'on']","['<s>', 'ein']",junger
"['young', 'man', 'alone', 'on', 'a']","['ein', 'junger']",mann
"['man', 'alone', 'on', 'a', 'white-sand']","['junger', 'mann']",alleine
"['alone', 'on', 'a', 'white-sand', 'beach']","['mann', 'alleine']",an
"['on', 'a', 'white-sand', 'beach', 'enjoys']","['alleine', 'an']",einem
"['a', 'white-sand', 'beach', 'enjoys', 'a']","['an', 'einem']",strand
"['white-sand', 'beach', 'enjoys', 'a', 'snack']","['einem', 'strand']",mit
"['enjoys', 'a', 'snack', 'under', 'a']","['strand', 'mit']",weißem
"['a', 'snack', 'under', 'a', 'beach']","['mit', 'weißem']",sand
"['snack', 'under', 'a', 'beach', 'umbrella']","['weißem', 'sand']",isst
"['under', 'a', 'beach', 'umbrella', '.']","['sand', 'isst']",eine
"['a', 'beach', 'umbrella', '.', '</s>']","['isst', 'eine']",kleinigkeit
"['beach', 'umbrella', '.', '</s>', '</s>']","['eine', 'kleinigkeit']",unter
"['umbrella', '.', '</s>', '</s>', '</s>']","['kleinigkeit', 'unter']",einem
"['</s>', '</s>', '</s>']","['unter', 'einem']",strandschirm
"['</s>', '</s>']","['einem', 'strandschirm']",.

"['<s>', '<s>', 'a', 'man', 'is']","['<s>', '<s>']",ein
"['<s>', 'a', 'man', 'is', 'performing']","['<s>', 'ein']",mann
"['a', 'man', 'is', 'performing', 'for']","['ein', 'mann']",gibt
"['man', 'is', 'performing', 'for', 'a']","['mann', 'gibt']",einer
"['is', 'performing', 'for', 'a', 'crowd']","['gibt', 'einer']",menschenmenge
"['performing', 'for', 'a', 'crowd', 'on']","['einer', 'menschenmenge']",eine
"['for', 'a', 'crowd', 'on', 'a']","['menschenmenge', 'eine']",vorführung
"['a', 'crowd', 'on', 'a', 'tall']","['eine', 'vorführung']",auf
"['crowd', 'on', 'a', 'tall', 'unicycle']","['vorführung', 'auf']",einem
"['on', 'a', 'tall', 'unicycle', '.']","['auf', 'einem']",hohen
"['a', 'tall', 'unicycle', '.', '</s>']","['einem', 'hohen']",einrad
"['tall', 'unicycle', '.', '</s>', '</s>']","['hohen', 'einrad']",.

"['<s>', '<s>', 'a', 'young', 'boy']","['<s>', '<s>']",ein
"['<s>', 'a', 'young', 'boy', 'runs']","['<s>', 'ein']",junge
"['a', 'young', 'boy', 'runs', 'down']","['ein', 'junge']",","
"['young', 'boy', 'runs', 'down', 'a']","['junge', ',']",der
"['boy', 'runs', 'down', 'a', 'field']","[',', 'der']",ein
"['runs', 'down', 'a', 'field', ',']","['der', 'ein']",namensschild
"['down', 'a', 'field', ',', 'wearing']","['ein', 'namensschild']",trägt
"['a', 'field', ',', 'wearing', 'a']","['namensschild', 'trägt']",","
"['field', ',', 'wearing', 'a', 'name']","['trägt', ',']",rennt
"[',', 'wearing', 'a', 'name', 'tag']","[',', 'rennt']",über
"['wearing', 'a', 'name', 'tag', '.']","['rennt', 'über']",ein
"['a', 'name', 'tag', '.', '</s>']","['über', 'ein']",feld
"['name', 'tag', '.', '</s>', '</s>']","['ein', 'feld']",.

"['<s>', '<s>', 'earth', ',', 'water']","['<s>', '<s>']",erde
"['<s>', 'earth', ',', 'water', 'and']","['<s>', 'erde']",","
"['earth', ',', 'water', 'and', 'sky']","['erde', ',']",wasser
"[',', 'water', 'and', 'sky', 'make']","[',', 'wasser']",und
"['water', 'and', 'sky', 'make', 'this']","['wasser', 'und']",himmel
"['and', 'sky', 'make', 'this', 'a']","['und', 'himmel']",machen
"['sky', 'make', 'this', 'a', 'great']","['himmel', 'machen']",diesen
"['this', 'a', 'great', 'spot', 'a']","['machen', 'diesen']",ort
"['a', 'great', 'spot', 'a', 'time']","['diesen', 'ort']",zu
"['great', 'spot', 'a', 'time', 'out']","['ort', 'zu']",einem
"['spot', 'a', 'time', 'out', '.']","['zu', 'einem']",guten
"['a', 'time', 'out', '.', '</s>']","['einem', 'guten']",platz
"['time', 'out', '.', '</s>', '</s>']","['guten', 'platz']",","
"['out', '.', '</s>', '</s>', '</s>']","['platz', ',']",um
"['</s>', '</s>', '</s>']","[',', 'um']",auszuspannen
"['</s>', '</s>']","['um', 'auszuspannen']",.

"['<s>', '<s>', 'a', 'young', 'baby']","['<s>', '<s>']",ein
"['<s>', '<s>', 'a', 'young', 'baby']","['<s>', 'ein']",kleines
"['<s>', 'a', 'young', 'baby', 'wearing']","['ein', 'kleines']",baby
"['a', 'young', 'baby', 'wearing', 'blue']","['kleines', 'baby']",mit
"['young', 'baby', 'wearing', 'blue', 'sleepwear']","['baby', 'mit']",blauem
"['baby', 'wearing', 'blue', 'sleepwear', 'has']","['mit', 'blauem']",schlafanzug
"['wearing', 'blue', 'sleepwear', 'has', 'a']","['blauem', 'schlafanzug']",hat
"['blue', 'sleepwear', 'has', 'a', 'pacifier']","['schlafanzug', 'hat']",einen
"['sleepwear', 'has', 'a', 'pacifier', 'in']","['hat', 'einen']",schnuller
"['sleepwear', 'has', 'a', 'pacifier', 'in']","['einen', 'schnuller']",im
"['has', 'a', 'pacifier', 'in', 'his']","['schnuller', 'im']",mund
"['a', 'pacifier', 'in', 'his', 'mouth']","['im', 'mund']",und
"['pacifier', 'in', 'his', 'mouth', 'and']","['mund', 'und']",schläft
"['in', 'his', 'mouth', 'and', 'is']","['und', 'schläft']",.

"['<s>', '<s>', 'a', 'man', 'and']","['<s>', '<s>']",ein
"['<s>', 'a', 'man', 'and', 'woman']","['<s>', 'ein']",mann
"['a', 'man', 'and', 'woman', 'walk']","['ein', 'mann']",und
"['man', 'and', 'woman', 'walk', 'down']","['mann', 'und']",eine
"['and', 'woman', 'walk', 'down', 'the']","['und', 'eine']",frau
"['woman', 'walk', 'down', 'the', 'street']","['eine', 'frau']",gehen
"['walk', 'down', 'the', 'street', 'together']","['frau', 'gehen']",zusammen
"['down', 'the', 'street', 'together', '.']","['gehen', 'zusammen']",die
"['the', 'street', 'together', '.', '</s>']","['zusammen', 'die']",straße
"['street', 'together', '.', '</s>', '</s>']","['die', 'straße']",entlang
"['.', '</s>', '</s>', '</s>']","['straße', 'entlang']",.

"['<s>', '<s>', 'a', 'woman', 'is']","['<s>', '<s>']",eine
"['<s>', '<s>', 'a', 'woman', 'is']","['<s>', 'eine']",frau
"['<s>', 'a', 'woman', 'is', 'smiling']","['eine', 'frau']",hinter
"['a', 'woman', 'is', 'smiling', 'and']","['frau', 'hinter']",einer
"['woman', 'is', 'smiling', 'and', 'reading']","['hinter', 'einer']",bud
"['woman', 'is', 'smiling', 'and', 'reading']","['einer', 'bud']",light-werbung
"['is', 'smiling', 'and', 'reading', 'a']","['bud', 'light-werbung']",lächelt
"['smiling', 'and', 'reading', 'a', 'newspaper']","['light-werbung', 'lächelt']",und
"['and', 'reading', 'a', 'newspaper', 'behind']","['lächelt', 'und']",liest
"['reading', 'a', 'newspaper', 'behind', 'a']","['und', 'liest']",zeitung
"['reading', 'a', 'newspaper', 'behind', 'a']","['liest', 'zeitung']",.

"['<s>', '<s>', 'two', 'people', 'look']","['<s>', '<s>']",zwei
"['<s>', '<s>', 'two', 'people', 'look']","['<s>', 'zwei']",leute
"['<s>', 'two', 'people', 'look', 'over']","['zwei', 'leute']",blicken
"['two', 'people', 'look', 'over', 'a']","['leute', 'blicken']",über
"['people', 'look', 'over', 'a', 'terrace']","['blicken', 'über']",eine
"['look', 'over', 'a', 'terrace', 'wall']","['über', 'eine']",terassenmauer
"['over', 'a', 'terrace', 'wall', '.']","['eine', 'terassenmauer']",.

"['<s>', '<s>', 'a', 'lady', 'wearing']","['<s>', '<s>']",eine
"['<s>', '<s>', 'a', 'lady', 'wearing']","['<s>', 'eine']",dame
"['<s>', 'a', 'lady', 'wearing', 'a']","['eine', 'dame']",mit
"['a', 'lady', 'wearing', 'a', 'bonnet']","['dame', 'mit']",einer
"['lady', 'wearing', 'a', 'bonnet', 'is']","['mit', 'einer']",haube
"['wearing', 'a', 'bonnet', 'is', 'sitting']","['einer', 'haube']",sitzt
"['a', 'bonnet', 'is', 'sitting', 'down']","['haube', 'sitzt']",mit
"['bonnet', 'is', 'sitting', 'down', 'with']","['sitzt', 'mit']",den
"['bonnet', 'is', 'sitting', 'down', 'with']","['mit', 'den']",händen
"['is', 'sitting', 'down', 'with', 'her']","['den', 'händen']",im
"['sitting', 'down', 'with', 'her', 'hands']","['händen', 'im']",schoß
"['down', 'with', 'her', 'hands', 'on']","['im', 'schoß']",da
"['with', 'her', 'hands', 'on', 'her']","['schoß', 'da']",.

"['<s>', '<s>', 'three', 'workers', 'are']","['<s>', '<s>']",drei
"['<s>', '<s>', 'three', 'workers', 'are']","['<s>', 'drei']",arbeiter
"['<s>', 'three', 'workers', 'are', 'working']","['drei', 'arbeiter']",arbeiten
"['three', 'workers', 'are', 'working', 'on']","['arbeiter', 'arbeiten']",auf
"['workers', 'are', 'working', 'on', 'a']","['arbeiten', 'auf']",einem
"['are', 'working', 'on', 'a', 'metal']","['auf', 'einem']",metalldach
"['working', 'on', 'a', 'metal', 'roof']","['einem', 'metalldach']",.

"['<s>', '<s>', 'a', 'woman', 'with']","['<s>', '<s>']",eine
"['<s>', '<s>', 'a', 'woman', 'with']","['<s>', 'eine']",frau
"['<s>', 'a', 'woman', 'with', 'ripped']","['eine', 'frau']",mit
"['a', 'woman', 'with', 'ripped', 'jeans']","['frau', 'mit']",gerissenen
"['woman', 'with', 'ripped', 'jeans', 'is']","['mit', 'gerissenen']",jeans
"['with', 'ripped', 'jeans', 'is', 'laying']","['gerissenen', 'jeans']",liegt
"['ripped', 'jeans', 'is', 'laying', 'on']","['jeans', 'liegt']",mit
"['jeans', 'is', 'laying', 'on', 'the']","['liegt', 'mit']",dem
"['is', 'laying', 'on', 'the', 'ground']","['mit', 'dem']",unterarm
"['laying', 'on', 'the', 'ground', 'with']","['dem', 'unterarm']",über
"['on', 'the', 'ground', 'with', 'her']","['unterarm', 'über']",dem
"['the', 'ground', 'with', 'her', 'forearm']","['über', 'dem']",gesicht
"['ground', 'with', 'her', 'forearm', 'over']","['dem', 'gesicht']",auf
"['with', 'her', 'forearm', 'over', 'her']","['gesicht', 'auf']",dem
"['her', 'forearm', 'over', 'her', 'face']","['auf', 'dem']",boden
"['forearm', 'over', 'her', 'face', '.']","['dem', 'boden']",.

"['<s>', '<s>', 'woman', 'walking', 'with']","['<s>', '<s>']",eine
"['<s>', 'woman', 'walking', 'with', 'face']","['<s>', 'eine']",frau
"['walking', 'with', 'face', 'painted', 'children']","['eine', 'frau']",","
"['with', 'face', 'painted', 'children', 'while']","['frau', ',']",die
"['painted', 'children', 'while', 'carrying', 'a']","[',', 'die']",mit
"['children', 'while', 'carrying', 'a', 'screaming']","['die', 'mit']",kindern
