<s> <s> a girl playing,<s> <s>,ein
<s> a girl playing pool,<s> ein,mädchen
a girl playing pool at,ein mädchen,spielt
girl playing pool at a,mädchen spielt,in
playing pool at a pool,spielt in,einer
pool at a pool hall,in einer,billardhalle
at a pool hall .,einer billardhalle,billard
a pool hall . </s>,billardhalle billard,.
pool hall . </s> </s>,billard .,</s>
<s> <s> a man climbs,<s> <s>,ein
<s> <s> a man climbs,<s> ein,mann
<s> a man climbs up,ein mann,klettert
a man climbs up a,mann klettert,eine
man climbs up a cliff,klettert eine,felswand
climbs up a cliff and,eine felswand,hoch
up a cliff and reaches,felswand hoch,und
a cliff and reaches an,hoch und,erreicht
cliff and reaches an overhang,und erreicht,einen
and reaches an overhang .,erreicht einen,Überhang
reaches an overhang . </s>,einen Überhang,.
an overhang . </s> </s>,Überhang .,</s>
<s> <s> a group of,<s> <s>,eine
<s> a group of people,<s> eine,gruppe
a group of people walking,eine gruppe,geht
group of people walking across,gruppe geht,über
people walking across a rope,geht über,einen
walking across a rope bridge,über einen,seilbrücke
across a rope bridge .,einen seilbrücke,.
a rope bridge . </s>,seilbrücke .,</s>
<s> <s> young man alone,<s> <s>,ein
<s> <s> young man alone,<s> ein,junger
<s> young man alone on,ein junger,mann
young man alone on a,junger mann,alleine
man alone on a white-sand,mann alleine,an
alone on a white-sand beach,alleine an,einem
on a white-sand beach enjoys,an einem,strand
on a white-sand beach enjoys,einem strand,mit
a white-sand beach enjoys a,strand mit,weißem
white-sand beach enjoys a snack,mit weißem,sand
beach enjoys a snack under,weißem sand,isst
enjoys a snack under a,sand isst,eine
a snack under a beach,isst eine,kleinigkeit
a snack under a beach,eine kleinigkeit,unter
snack under a beach umbrella,kleinigkeit unter,einem
under a beach umbrella .,unter einem,strandschirm
a beach umbrella . </s>,einem strandschirm,.
beach umbrella . </s> </s>,strandschirm .,</s>
<s> <s> a man is,<s> <s>,ein
<s> <s> a man is,<s> ein,mann
<s> a man is performing,ein mann,gibt
a man is performing for,mann gibt,einer
man is performing for a,gibt einer,menschenmenge
is performing for a crowd,einer menschenmenge,eine
performing for a crowd on,menschenmenge eine,vorführung
for a crowd on a,eine vorführung,auf
a crowd on a tall,vorführung auf,einem
crowd on a tall unicycle,auf einem,hohen
on a tall unicycle .,einem hohen,einrad
a tall unicycle . </s>,hohen einrad,.
tall unicycle . </s> </s>,einrad .,</s>
<s> <s> a young boy,<s> <s>,ein
<s> <s> a young boy,<s> ein,junge
<s> a young boy runs,ein junge,","
a young boy runs down,"junge ,",der
young boy runs down a,", der",ein
boy runs down a field,der ein,namensschild
"runs down a field ,",ein namensschild,trägt
"down a field , wearing",namensschild trägt,","
"a field , wearing a","trägt ,",rennt
"field , wearing a name",", rennt",über
", wearing a name tag",rennt über,ein
wearing a name tag .,über ein,feld
a name tag . </s>,ein feld,.
name tag . </s> </s>,feld .,</s>
"<s> <s> earth , water",<s> <s>,erde
"<s> <s> earth , water",<s> erde,","
"<s> earth , water and","erde ,",wasser
"earth , water and sky",", wasser",und
", water and sky make",wasser und,himmel
water and sky make this,und himmel,machen
water and sky make this,himmel machen,diesen
and sky make this a,machen diesen,ort
sky make this a great,diesen ort,zu
make this a great spot,ort zu,einem
this a great spot a,zu einem,guten
a great spot a time,einem guten,platz
a great spot a time,guten platz,","
great spot a time out,"platz ,",um
spot a time out .,", um",auszuspannen
a time out . </s>,um auszuspannen,.
time out . </s> </s>,auszuspannen .,</s>
<s> <s> a young baby,<s> <s>,ein
<s> a young baby wearing,<s> ein,kleines
a young baby wearing blue,ein kleines,baby
young baby wearing blue sleepwear,kleines baby,mit
baby wearing blue sleepwear has,baby mit,blauem
wearing blue sleepwear has a,mit blauem,schlafanzug
blue sleepwear has a pacifier,blauem schlafanzug,hat
sleepwear has a pacifier in,schlafanzug hat,einen
has a pacifier in his,hat einen,schnuller
a pacifier in his mouth,einen schnuller,im
pacifier in his mouth and,schnuller im,mund
in his mouth and is,im mund,und
his mouth and is sleeping,mund und,schläft
mouth and is sleeping .,und schläft,.
and is sleeping . </s>,schläft .,</s>
<s> <s> a man and,<s> <s>,ein
<s> <s> a man and,<s> ein,mann
<s> a man and woman,ein mann,und
a man and woman walk,mann und,eine
man and woman walk down,und eine,frau
and woman walk down the,eine frau,gehen
woman walk down the street,frau gehen,zusammen
woman walk down the street,gehen zusammen,die
walk down the street together,zusammen die,straße
down the street together .,die straße,entlang
the street together . </s>,straße entlang,.
street together . </s> </s>,entlang .,</s>
<s> <s> a woman is,<s> <s>,eine
<s> a woman is smiling,<s> eine,frau
a woman is smiling and,eine frau,hinter
woman is smiling and reading,frau hinter,einer
is smiling and reading a,hinter einer,bud
smiling and reading a newspaper,einer bud,light-werbung
reading a newspaper behind a,bud light-werbung,lächelt
a newspaper behind a bud,light-werbung lächelt,und
newspaper behind a bud light,lächelt und,liest
behind a bud light advertisement,und liest,zeitung
a bud light advertisement .,liest zeitung,.
bud light advertisement . </s>,zeitung .,</s>
<s> <s> two people look,<s> <s>,zwei
<s> two people look over,<s> zwei,leute
two people look over a,zwei leute,blicken
people look over a terrace,leute blicken,über
look over a terrace wall,blicken über,eine
over a terrace wall .,über eine,terassenmauer
a terrace wall . </s>,eine terassenmauer,.
terrace wall . </s> </s>,terassenmauer .,</s>
<s> <s> a lady wearing,<s> <s>,eine
<s> a lady wearing a,<s> eine,dame
a lady wearing a bonnet,eine dame,mit
lady wearing a bonnet is,dame mit,einer
wearing a bonnet is sitting,mit einer,haube
a bonnet is sitting down,einer haube,sitzt
bonnet is sitting down with,haube sitzt,mit
is sitting down with her,sitzt mit,den
sitting down with her hands,mit den,händen
down with her hands on,den händen,im
with her hands on her,händen im,schoß
her hands on her lap,im schoß,da
hands on her lap .,schoß da,.
on her lap . </s>,da .,</s>
<s> <s> three workers are,<s> <s>,drei
<s> three workers are working,<s> drei,arbeiter
three workers are working on,drei arbeiter,arbeiten
workers are working on a,arbeiter arbeiten,auf
are working on a metal,arbeiten auf,einem
working on a metal roof,auf einem,metalldach
on a metal roof </s>,einem metalldach,.
a metal roof </s> </s>,metalldach .,</s>
<s> <s> a woman with,<s> <s>,eine
<s> a woman with ripped,<s> eine,frau
a woman with ripped jeans,eine frau,mit
woman with ripped jeans is,frau mit,gerissenen
with ripped jeans is laying,mit gerissenen,jeans
ripped jeans is laying on,gerissenen jeans,liegt
jeans is laying on the,jeans liegt,mit
is laying on the ground,liegt mit,dem
laying on the ground with,mit dem,unterarm
on the ground with her,dem unterarm,über
the ground with her forearm,unterarm über,dem
ground with her forearm over,über dem,gesicht
with her forearm over her,dem gesicht,auf
her forearm over her face,gesicht auf,dem
forearm over her face .,auf dem,boden
over her face . </s>,dem boden,.
